config,bench,threads,trial,txns,time_ns,throughput,aborts,verified
rstm-cgl,ReadWriteN/m256,8,4,88143694,5000050000,17628562,0,1
zstm-ala,ReadWriteN/m256,16,4,11093318,5000769901,2218322,19099551,1
rstm-norec,ReadWriteN/m256,16,4,9978436,5000007823,1995684,17447705,1
rstm-cgl,ReadWriteN/m256,16,4,66039420,5000101366,13207616,0,1
zstm-ala,Disjoint/16-8-2,1,4,100899344,5000083080,20179533,0,1
rstm-norec,Disjoint/16-8-2,1,4,91691457,5000002792,18338281,0,1
rstm-cgl,Disjoint/16-8-2,1,4,85576677,5000000830,17115332,0,1
zstm-ala,Disjoint/16-8-2,2,4,80326475,5000079042,16065041,0,1
rstm-norec,Disjoint/16-8-2,2,4,71122741,5000000752,14224546,0,1
rstm-cgl,Disjoint/16-8-2,2,4,84213771,5000022968,16842676,0,1
zstm-ala,Disjoint/16-8-2,4,4,62999102,5000224604,12599254,0,1
rstm-norec,Disjoint/16-8-2,4,4,53052528,5000000189,10610505,0,1
rstm-cgl,Disjoint/16-8-2,4,4,80829283,5000060566,16165660,0,1
zstm-ala,Disjoint/16-8-2,8,4,31869702,5000721963,6373020,0,1
rstm-norec,Disjoint/16-8-2,8,4,34412962,5000002851,6882588,0,1
rstm-cgl,Disjoint/16-8-2,8,4,76456982,5000051682,15291238,0,1
zstm-ala,Disjoint/16-8-2,16,4,25455855,5000728101,5090429,0,1
rstm-norec,Disjoint/16-8-2,16,4,21176752,5000006292,4235345,0,1
rstm-cgl,Disjoint/16-8-2,16,4,44305772,5000042110,8861079,0,1
zstm-ala,Counter,1,5,532819237,5000091119,106561905,0,1
rstm-norec,Counter,1,5,316762317,5000002046,63352437,0,1
rstm-cgl,Counter,1,5,209955996,5000005167,41991155,0,1
zstm-ala,Counter,2,5,92825464,5000924419,18561661,19509996,1
rstm-norec,Counter,2,5,45329700,5000002746,9065935,12255644,1
rstm-cgl,Counter,2,5,127255096,5000001207,25451013,0,1
zstm-ala,Counter,4,5,51207589,5000133505,10241244,13869825,1
rstm-norec,Counter,4,5,22376115,5000000966,4475222,21730427,1
rstm-cgl,Counter,4,5,75629557,5000052959,15125751,0,1
zstm-ala,Counter,8,5,33302736,5002739522,6656899,20279695,1
rstm-norec,Counter,8,5,14176973,5000002653,2835393,31142251,1
rstm-cgl,Counter,8,5,70244457,5000046500,14048760,0,1
zstm-ala,Counter,16,5,26657130,5000766430,5330608,19968151,1
rstm-norec,Counter,16,5,10210324,5000006600,2042062,33577772,1
rstm-cgl,Counter,16,5,46643799,5000052232,9328662,0,1
zstm-ala,ReadNWrite1/m256,1,5,236180599,5000687457,47229626,0,1
rstm-norec,ReadNWrite1/m256,1,5,151078583,5000004511,30215689,0,1
rstm-cgl,ReadNWrite1/m256,1,5,121986419,5000001675,24397275,0,1
zstm-ala,ReadNWrite1/m256,2,5,66254241,5000373334,13249858,1571045,1
rstm-norec,ReadNWrite1/m256,2,5,42558926,5000006852,8511773,758612,1
